iter	Passed	Remaining
910	7396	16961
911	7404	16951
912	7412	16943
913	7418	16932
914	7425	16921
915	7432	16909
916	7443	16908
917	7451	16899
918	7458	16888
919	7464	16876
920	7471	16865
921	7481	16860
922	7490	16855
923	7498	16846
924	7505	16837
925	7516	16835
926	7531	16841
927	7539	16833
928	7547	16825
929	7554	16815
930	7562	16806
931	7571	16800
932	7579	16790
933	7585	16778
934	7592	16767
935	7598	16756
936	7611	16758
937	7618	16747
938	7625	16737
939	7632	16727
940	7640	16719
941	7648	16708
942	7656	16701
943	7663	16690
944	7669	16678
945	7686	16688
946	7694	16680
947	7701	16671
948	7710	16664
949	7717	16653
950	7724	16642
951	7732	16634
952	7741	16628
953	7748	16617
954	7756	16609
955	7763	16599
956	7776	16600
957	7785	16594
958	7793	16587
959	7805	16587
960	7818	16588
961	7842	16613
962	7854	16613
963	7866	16613
964	7877	16611
965	7886	16606
966	7895	16599
967	7906	16596
968	7913	16587
969	7921	16578
970	7930	16571
971	7947	16582
972	7955	16573
973	7964	16567
974	7975	16563
975	7982	16553
976	7990	16546
977	7997	16535
978	8005	16525
979	8012	16516
980	8020	16506
981	8027	16496
982	8035	16486
983	8041	16475
984	8048	16464
985	8055	16455
986	8062	16443
987	8071	16437
988	8078	16426
989	8085	16416
990	8092	16405
991	8098	16393
992	8109	16390
993	8116	16379
994	8123	16369
995	8130	16359
996	8139	16352
997	8147	16344
998	8154	16334
999	8161	16322
1000	8169	16313
1001	8175	16302
1002	8182	16291
1003	8190	16283
1004	8197	16272
1005	8205	16264
1006	8212	16254
1007	8220	16245
1008	8229	16238
1009	8236	16228
1010	8243	16217
1011	8253	16213
1012	8260	16203
1013	8270	16199
1014	8279	16191
1015	8286	16181
1016	8294	16172
1017	8304	16169
1018	8313	16161
1019	8321	16153
1020	8328	16143
1021	8336	16134
1022	8343	16123
1023	8353	16119
1024	8361	16111
1025	8374	16111
1026	8382	16104
1027	8390	16095
1028	8399	16088
1029	8407	16080
1030	8414	16070
1031	8422	16060
1032	8434	16059
1033	8441	16050
1034	8450	16043
1035	8457	16033
1036	8466	16026
1037	8474	16018
1038	8481	16008
1039	8489	15998
1040	8497	15990
1041	8504	15981
1042	8512	15972
1043	8519	15962
1044	8532	15961
1045	8539	15951
1046	8545	15941
1047	8554	15933
1048	8562	15925
1049	8569	15913
1050	8575	15903
1051	8582	15893
1052	8591	15885
1053	8600	15878
1054	8606	15867
1055	8613	15857
1056	8621	15847
1057	8631	15842
1058	8639	15834
1059	8647	15825
1060	8654	15815
1061	8670	15822
1062	8678	15814
1063	8685	15803
1064	8694	15796
1065	8701	15787
1066	8711	15781
1067	8719	15772
1068	8728	15767
1069	8734	15755
1070	8742	15746
1071	8748	15734
1072	8757	15727
1073	8764	15717
1074	8771	15707
1075	8778	15697
1076	8786	15688
1077	8801	15692
1078	8811	15687
1079	8818	15677
1080	8830	15676
1081	8841	15672
1082	8849	15663
1083	8865	15670
1084	8876	15667
1085	8895	15677
