Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitECFPMorganFP/ARK5_DecisionTree,430.172530,13.214503,0.072741,7.090402e-09
RDKitECFPMorganFP/ARK5_ExtraTrees,430.388770,13.696025,0.072275,1.093887e-06
RDKitECFPMorganFP/ARK5_RandomForest,388.480367,13.084684,0.162610,8.515544e-07
RDKitECFPMorganFP/ARK5_KNeighbors,443.171825,13.414554,0.044720,8.228838e-09
RDKitECFPMorganFP/ARK5_PLS,368.721187,12.902928,0.205202,6.052657e-07
RDKitECFPMorganFP/ARK5_PLS-SKLEARN,368.721187,12.902928,0.205202,5.345834e-08
RDKitECFPMorganFP/ARK5_XGBoost,404.577471,14.190120,0.127912,3.332708e-06
RDKitECFPMorganFP/ARK5_CatBoost,364.022942,12.591572,0.215330,2.878314e-06
RDKitECFPMorganFP/ARK5_DNN,382.650793,13.831714,0.175176,1.734298e-05
RDKitECFPMorganFP/ASK1_Linear-SVR,116.024912,6.819857,0.209539,2.297341e-08
RDKitECFPMorganFP/ASK1_RBF-SVR,165.435585,5.734084,-0.127088,3.204735e-08
RDKitECFPMorganFP/ASK1_DecisionTree,120.551772,6.484312,0.178698,1.002284e-08
RDKitECFPMorganFP/ASK1_ExtraTrees,146.425638,7.595085,0.002424,1.131884e-06
RDKitECFPMorganFP/ASK1_RandomForest,134.886405,7.239424,0.081039,9.509532e-07
RDKitECFPMorganFP/ASK1_KNeighbors,122.750657,6.712207,0.163718,9.153487e-09
RDKitECFPMorganFP/ASK1_PLS,105.206149,7.110647,0.283246,6.895151e-07
RDKitECFPMorganFP/ASK1_PLS-SKLEARN,105.206149,7.110647,0.283246,4.652387e-08
RDKitECFPMorganFP/ASK1_XGBoost,120.108647,7.696658,0.181717,5.235990e-06
RDKitECFPMorganFP/ASK1_CatBoost,134.674540,7.292720,0.082482,3.026519e-06
RDKitECFPMorganFP/ASK1_DNN,137.697244,7.084367,0.061889,1.869753e-05
RDKitECFPMorganFP/ASK2_Linear-SVR,93.289597,6.557973,-0.261867,2.440649e-08
RDKitECFPMorganFP/ASK2_RBF-SVR,92.811941,5.193153,-0.255406,3.682869e-08
RDKitECFPMorganFP/ASK2_DecisionTree,222.594299,8.197977,-2.010887,8.853153e-09
RDKitECFPMorganFP/ASK2_ExtraTrees,84.174986,6.933828,-0.138580,1.307447e-06
RDKitECFPMorganFP/ASK2_RandomForest,74.037992,6.619027,-0.001463,9.258041e-07
RDKitECFPMorganFP/ASK2_KNeighbors,93.111925,7.131455,-0.259464,9.435439e-09
RDKitECFPMorganFP/ASK2_PLS,168.491763,8.578614,-1.279077,6.625833e-07
RDKitECFPMorganFP/ASK2_PLS-SKLEARN,149.237804,8.311861,-1.018642,8.190561e-08
RDKitECFPMorganFP/ASK2_XGBoost,145.892596,8.871410,-0.973393,4.071542e-06
RDKitECFPMorganFP/ASK2_CatBoost,75.430714,6.903675,-0.020302,3.035346e-06
RDKitECFPMorganFP/ASK2_DNN,71.669223,6.422686,0.030578,1.827068e-05
RDKitECFPMorganFP/AURKA_Linear-SVR,682.453192,18.680380,0.158742,2.646835e-08
RDKitECFPMorganFP/AURKA_RBF-SVR,919.522085,18.277128,-0.133492,3.963542e-08
RDKitECFPMorganFP/AURKA_DecisionTree,772.432854,17.818014,0.047824,8.095220e-09
RDKitECFPMorganFP/AURKA_ExtraTrees,777.691260,18.315503,0.041342,1.129061e-06
RDKitECFPMorganFP/AURKA_RandomForest,658.640235,18.951232,0.188096,9.272477e-07
RDKitECFPMorganFP/AURKA_KNeighbors,870.444362,20.026009,-0.072994,1.167036e-08
RDKitECFPMorganFP/AURKA_PLS,723.976550,19.992069,0.107556,6.530836e-07
RDKitECFPMorganFP/AURKA_PLS-SKLEARN,699.002603,19.775142,0.138341,5.165949e-08
RDKitECFPMorganFP/AURKA_XGBoost,734.390889,19.961217,0.094718,5.156869e-06
RDKitECFPMorganFP/AURKA_CatBoost,596.595031,17.283529,0.264579,3.097289e-06
RDKitECFPMorganFP/AURKA_DNN,704.603709,21.166279,0.131437,1.789187e-05
RDKitECFPMorganFP/AURKB_Linear-SVR,648.797226,19.820218,0.288812,2.744696e-08
RDKitECFPMorganFP/AURKB_RBF-SVR,1003.900515,23.088825,-0.100440,3.823617e-08
RDKitECFPMorganFP/AURKB_DecisionTree,748.692388,20.628608,0.179310,8.248536e-09
RDKitECFPMorganFP/AURKB_ExtraTrees,770.427693,21.498167,0.155485,1.231302e-06
RDKitECFPMorganFP/AURKB_RandomForest,730.488020,21.415834,0.199265,1.022595e-06
RDKitECFPMorganFP/AURKB_KNeighbors,920.485363,22.710610,-0.009003,2.301719e-08
RDKitECFPMorganFP/AURKB_PLS,646.124532,20.071564,0.291742,7.152262e-07
RDKitECFPMorganFP/AURKB_PLS-SKLEARN,646.124532,20.071564,0.291742,4.978682e-08
RDKitECFPMorganFP/AURKB_XGBoost,669.250768,20.124686,0.266391,4.761058e-06
RDKitECFPMorganFP/AURKB_CatBoost,654.715185,19.691983,0.282325,3.197185e-06
RDKitECFPMorganFP/AURKB_DNN,702.304323,21.337255,0.230159,1.856170e-05
RDKitECFPMorganFP/AURKC_Linear-SVR,433.301558,15.875669,0.426655,2.622411e-08
RDKitECFPMorganFP/AURKC_RBF-SVR,813.735288,20.706632,-0.076736,3.700043e-08
RDKitECFPMorganFP/AURKC_DecisionTree,605.702555,17.970915,0.198533,9.061272e-09
RDKitECFPMorganFP/AURKC_ExtraTrees,524.110557,17.282863,0.306496,1.296008e-06
RDKitECFPMorganFP/AURKC_RandomForest,495.891199,17.713372,0.343836,9.913628e-07
RDKitECFPMorganFP/AURKC_KNeighbors,598.429358,18.391831,0.208157,1.634255e-08
RDKitECFPMorganFP/AURKC_PLS,456.328036,16.616530,0.396186,6.523765e-07
RDKitECFPMorganFP/AURKC_PLS-SKLEARN,487.263723,16.988887,0.355252,5.506736e-08
RDKitECFPMorganFP/AURKC_XGBoost,442.283310,16.248446,0.414770,3.375335e-06
RDKitECFPMorganFP/AURKC_CatBoost,427.946013,16.048087,0.433741,2.851100e-06
RDKitECFPMorganFP/AURKC_DNN,525.568697,18.864099,0.304567,1.636558e-05
RDKitECFPMorganFP/AXL_Linear-SVR,786.686518,19.027833,0.274824,2.810597e-08
RDKitECFPMorganFP/AXL_RBF-SVR,1410.239260,23.254903,-0.299973,3.683964e-08
RDKitECFPMorganFP/AXL_DecisionTree,1021.498615,21.011789,0.058372,8.481777e-09
RDKitECFPMorganFP/AXL_ExtraTrees,958.056904,21.392221,0.116853,1.337631e-06
RDKitECFPMorganFP/AXL_RandomForest,863.344076,21.524885,0.204161,1.014415e-06
RDKitECFPMorganFP/AXL_KNeighbors,917.392396,20.322160,0.154338,2.200757e-08
RDKitECFPMorganFP/AXL_PLS,667.225629,18.712679,0.384945,6.736936e-07
RDKitECFPMorganFP/AXL_PLS-SKLEARN,667.225629,18.712679,0.384945,6.376255e-08
RDKitECFPMorganFP/AXL_XGBoost,710.130941,19.671752,0.345394,4.120846e-06
RDKitECFPMorganFP/AXL_CatBoost,669.858530,18.525533,0.382518,3.038456e-06
RDKitECFPMorganFP/AXL_DNN,674.582769,20.958392,0.378163,1.867375e-05
RDKitECFPMorganFP/BIKE_Linear-SVR,444.656322,15.561314,0.434221,2.732656e-08
RDKitECFPMorganFP/BIKE_RBF-SVR,804.217468,18.914671,-0.023283,3.873233e-08
RDKitECFPMorganFP/BIKE_DecisionTree,507.174128,16.236668,0.354673,1.069517e-08
RDKitECFPMorganFP/BIKE_ExtraTrees,502.918923,15.778334,0.360088,1.347004e-06
RDKitECFPMorganFP/BIKE_RandomForest,472.197742,16.230234,0.399177,1.018145e-06
