Molecule,LogP_chembl
CMPLOGP00000597,0.17
CMPLOGP00000598,0.17
CMPLOGP00000599,0.18
CMPLOGP00000600,0.18
CMPLOGP00000601,0.18
CMPLOGP00000602,0.18
CMPLOGP00000603,0.18
CMPLOGP00000604,0.18
CMPLOGP00000605,0.18
CMPLOGP00000606,0.18
CMPLOGP00000607,0.18
CMPLOGP00000608,0.18
CMPLOGP00000609,0.19
CMPLOGP00000610,0.19
CMPLOGP00000611,0.19
CMPLOGP00000612,0.19
CMPLOGP00000613,0.2
CMPLOGP00000614,0.2
CMPLOGP00000615,0.2
CMPLOGP00000616,0.2
CMPLOGP00000617,0.2
CMPLOGP00000618,0.2
CMPLOGP00000619,0.2
CMPLOGP00000620,0.208
CMPLOGP00000621,0.21
CMPLOGP00000622,0.21
CMPLOGP00000623,0.21
CMPLOGP00000624,0.21
CMPLOGP00000625,0.211
CMPLOGP00000626,0.22
CMPLOGP00000627,0.228
CMPLOGP00000628,0.229
CMPLOGP00000629,0.23
CMPLOGP00000630,0.23
CMPLOGP00000631,0.23
CMPLOGP00000632,0.23
CMPLOGP00000633,0.23
CMPLOGP00000634,0.23
CMPLOGP00000635,0.24
CMPLOGP00000636,0.24
CMPLOGP00000637,0.24
CMPLOGP00000638,0.24
CMPLOGP00000639,0.245
CMPLOGP00000640,0.25
CMPLOGP00000641,0.25
CMPLOGP00000642,0.25
CMPLOGP00000643,0.25
CMPLOGP00000644,0.25
CMPLOGP00000645,0.25
CMPLOGP00000646,0.255
CMPLOGP00000647,0.26
CMPLOGP00000648,0.26
CMPLOGP00000649,0.26
CMPLOGP00000650,0.26
CMPLOGP00000651,0.26
CMPLOGP00000652,0.27
CMPLOGP00000653,0.27
CMPLOGP00000654,0.27
CMPLOGP00000655,0.27
CMPLOGP00000656,0.273
CMPLOGP00000657,0.28
CMPLOGP00000658,0.28
CMPLOGP00000659,0.28
CMPLOGP00000660,0.29
CMPLOGP00000661,0.29
CMPLOGP00000662,0.29
CMPLOGP00000663,0.29
CMPLOGP00000664,0.29
CMPLOGP00000665,0.296
CMPLOGP00000666,0.3
CMPLOGP00000667,0.3
CMPLOGP00000668,0.3
CMPLOGP00000669,0.3
CMPLOGP00000670,0.3
CMPLOGP00000671,0.3
CMPLOGP00000672,0.3
