Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitDescriptorsResults/CDC2_KNeighbors,0.706531,0.693007,-0.258260,5.755750e-09
RDKitDescriptorsResults/CDC2_PLS,1.618342,0.981372,-1.882103,1.025720e-07
RDKitDescriptorsResults/CDC2_PLS-SKLEARN,1.486678,0.948608,-1.647623,5.632494e-07
RDKitDescriptorsResults/CDC2_XGBoost,0.586854,0.594741,-0.045127,8.977070e-07
RDKitDescriptorsResults/CDC2_CatBoost,0.549851,0.579659,0.020771,2.574361e-06
RDKitDescriptorsResults/CDC2_DNN,0.942744,0.704051,-0.678932,9.996160e-06
RDKitDescriptorsResults/CDC42BPA_Linear-SVR,1.636437,0.828253,-2.076156,4.104658e-09
RDKitDescriptorsResults/CDC42BPA_RBF-SVR,0.556398,0.605894,-0.045910,4.029805e-09
RDKitDescriptorsResults/CDC42BPA_DecisionTree,1.093787,0.801616,-1.056089,4.714520e-09
RDKitDescriptorsResults/CDC42BPA_ExtraTrees,0.501376,0.574492,0.057518,2.933412e-07
RDKitDescriptorsResults/CDC42BPA_RandomForest,0.498202,0.572593,0.063487,5.032463e-07
RDKitDescriptorsResults/CDC42BPA_KNeighbors,0.450757,0.570321,0.152672,4.784778e-09
RDKitDescriptorsResults/CDC42BPA_PLS,0.711641,0.648463,-0.337734,8.375308e-08
RDKitDescriptorsResults/CDC42BPA_PLS-SKLEARN,0.711641,0.648463,-0.337734,4.679775e-07
RDKitDescriptorsResults/CDC42BPA_XGBoost,0.490981,0.582818,0.077060,7.510640e-07
RDKitDescriptorsResults/CDC42BPA_CatBoost,0.479644,0.569564,0.098371,2.413714e-06
RDKitDescriptorsResults/CDC42BPA_DNN,2.094913,1.212636,-2.937994,8.353786e-06
RDKitDescriptorsResults/CDC7_Linear-SVR,0.708021,0.622851,0.176222,3.998269e-09
RDKitDescriptorsResults/CDC7_RBF-SVR,0.441084,0.499581,0.486801,5.796755e-09
RDKitDescriptorsResults/CDC7_DecisionTree,0.846835,0.661261,0.014713,5.807370e-09
RDKitDescriptorsResults/CDC7_ExtraTrees,0.421599,0.517807,0.509472,3.102314e-07
RDKitDescriptorsResults/CDC7_RandomForest,0.557331,0.570146,0.351549,5.925185e-07
RDKitDescriptorsResults/CDC7_KNeighbors,0.655283,0.608217,0.237583,5.650992e-09
RDKitDescriptorsResults/CDC7_PLS,0.706929,0.640982,0.177492,1.042065e-07
RDKitDescriptorsResults/CDC7_PLS-SKLEARN,0.754009,0.676461,0.122715,5.312382e-07
RDKitDescriptorsResults/CDC7_XGBoost,0.412941,0.488488,0.519545,8.458422e-07
RDKitDescriptorsResults/CDC7_CatBoost,0.412130,0.488437,0.520489,2.612921e-06
RDKitDescriptorsResults/CDC7_DNN,0.457077,0.495724,0.468194,9.739237e-06
RDKitDescriptorsResults/CDK2_Linear-SVR,0.608554,0.612065,-0.082354,4.837638e-09
RDKitDescriptorsResults/CDK2_RBF-SVR,0.507484,0.560756,0.097406,5.259836e-09
RDKitDescriptorsResults/CDK2_DecisionTree,0.663084,0.676890,-0.179338,6.812606e-09
RDKitDescriptorsResults/CDK2_ExtraTrees,0.463260,0.524816,0.176062,3.678135e-07
RDKitDescriptorsResults/CDK2_RandomForest,0.459567,0.530976,0.182629,8.611311e-07
RDKitDescriptorsResults/CDK2_KNeighbors,0.566021,0.591080,-0.006705,6.085751e-09
RDKitDescriptorsResults/CDK2_PLS,0.577367,0.610986,-0.026885,1.487235e-07
RDKitDescriptorsResults/CDK2_PLS-SKLEARN,0.573176,0.616477,-0.019432,5.811369e-07
RDKitDescriptorsResults/CDK2_XGBoost,0.474557,0.519159,0.155969,1.021203e-06
RDKitDescriptorsResults/CDK2_CatBoost,0.450892,0.518926,0.198059,2.765132e-06
RDKitDescriptorsResults/CDK2_DNN,0.658213,0.658715,-0.170675,1.053193e-05
RDKitDescriptorsResults/CDK5_Linear-SVR,1.080458,0.815735,-0.047055,6.051083e-09
RDKitDescriptorsResults/CDK5_RBF-SVR,0.741413,0.716722,0.281508,6.535319e-09
RDKitDescriptorsResults/CDK5_DecisionTree,1.029446,0.841851,0.002379,6.798213e-09
RDKitDescriptorsResults/CDK5_ExtraTrees,0.750578,0.731782,0.272626,4.071415e-07
RDKitDescriptorsResults/CDK5_RandomForest,0.734561,0.720986,0.288148,1.035789e-06
RDKitDescriptorsResults/CDK5_KNeighbors,0.872967,0.757868,0.154021,8.682324e-09
RDKitDescriptorsResults/CDK5_PLS,0.886672,0.798482,0.140739,1.715886e-07
RDKitDescriptorsResults/CDK5_PLS-SKLEARN,0.930770,0.830888,0.098004,5.013049e-07
RDKitDescriptorsResults/CDK5_XGBoost,0.702162,0.673755,0.319545,1.062364e-06
RDKitDescriptorsResults/CDK5_CatBoost,0.693894,0.679475,0.327558,2.998548e-06
RDKitDescriptorsResults/CDK5_DNN,1.310850,0.836504,-0.270325,1.173477e-05
RDKitDescriptorsResults/CDK7_Linear-SVR,0.835230,0.725858,0.259424,3.817017e-09
RDKitDescriptorsResults/CDK7_RBF-SVR,0.561652,0.567799,0.501998,3.608197e-09
RDKitDescriptorsResults/CDK7_DecisionTree,1.032750,0.706283,0.084289,5.216355e-09
RDKitDescriptorsResults/CDK7_ExtraTrees,0.578329,0.574145,0.487212,2.888225e-07
RDKitDescriptorsResults/CDK7_RandomForest,0.571808,0.572292,0.492993,5.032161e-07
RDKitDescriptorsResults/CDK7_KNeighbors,0.643533,0.658983,0.429397,5.887460e-09
RDKitDescriptorsResults/CDK7_PLS,0.722076,0.636867,0.359755,8.200445e-08
RDKitDescriptorsResults/CDK7_PLS-SKLEARN,0.722076,0.636867,0.359755,5.475181e-07
RDKitDescriptorsResults/CDK7_XGBoost,0.599332,0.621305,0.468589,7.634101e-07
RDKitDescriptorsResults/CDK7_CatBoost,0.581294,0.622115,0.484582,2.146707e-06
RDKitDescriptorsResults/CDK7_DNN,0.734878,0.679911,0.348404,9.124147e-06
RDKitDescriptorsResults/CDK8_Linear-SVR,0.751918,0.698706,0.446443,4.483571e-09
RDKitDescriptorsResults/CDK8_RBF-SVR,0.612632,0.612940,0.548985,4.587364e-09
RDKitDescriptorsResults/CDK8_DecisionTree,0.843076,0.668442,0.379334,7.536235e-09
RDKitDescriptorsResults/CDK8_ExtraTrees,0.571526,0.627082,0.579246,3.166905e-07
RDKitDescriptorsResults/CDK8_RandomForest,0.586803,0.625383,0.568000,6.328904e-07
