Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitECFPMorganFP/CDK7_Linear-SVR,0.722608,0.661737,0.359283,9.265378e-10
RDKitECFPMorganFP/CDK7_RBF-SVR,0.707297,0.646570,0.372859,1.145174e-09
RDKitECFPMorganFP/CDK7_DecisionTree,1.756863,0.945254,-0.557762,6.849143e-10
RDKitECFPMorganFP/CDK7_ExtraTrees,1.363482,0.857221,-0.208962,8.439342e-08
RDKitECFPMorganFP/CDK7_RandomForest,0.811922,0.703029,0.280091,8.114626e-08
RDKitECFPMorganFP/CDK7_KNeighbors,0.659800,0.666022,0.414973,6.135290e-10
RDKitECFPMorganFP/CDK7_PLS,0.648829,0.641472,0.424701,2.611500e-08
RDKitECFPMorganFP/CDK7_PLS-SKLEARN,0.688953,0.673267,0.389124,4.197605e-09
RDKitECFPMorganFP/CDK7_XGBoost,0.729545,0.686772,0.353132,4.743427e-07
RDKitECFPMorganFP/CDK7_CatBoost,0.818866,0.702430,0.273934,6.073880e-07
RDKitECFPMorganFP/CDK7_DNN,0.845931,0.728273,0.249936,2.472132e-06
RDKitECFPMorganFP/CDK8_Linear-SVR,0.644454,0.606784,0.525557,1.270507e-09
RDKitECFPMorganFP/CDK8_RBF-SVR,0.803856,0.715754,0.408207,1.778698e-09
RDKitECFPMorganFP/CDK8_DecisionTree,1.308645,0.846112,0.036586,8.230188e-10
RDKitECFPMorganFP/CDK8_ExtraTrees,0.770634,0.695876,0.432665,1.207380e-07
RDKitECFPMorganFP/CDK8_RandomForest,0.790044,0.701066,0.418375,9.923779e-08
RDKitECFPMorganFP/CDK8_KNeighbors,0.942029,0.787434,0.306485,7.256086e-10
RDKitECFPMorganFP/CDK8_PLS,0.637105,0.591228,0.530968,3.906084e-08
RDKitECFPMorganFP/CDK8_PLS-SKLEARN,0.650762,0.608218,0.520914,5.536315e-09
RDKitECFPMorganFP/CDK8_XGBoost,0.572509,0.553990,0.578523,6.502397e-07
RDKitECFPMorganFP/CDK8_CatBoost,0.582301,0.585100,0.571314,6.741691e-07
RDKitECFPMorganFP/CDK8_DNN,0.887249,0.728810,0.346814,2.977279e-06
RDKitECFPMorganFP/CDK9_Linear-SVR,0.837730,0.756807,0.227612,1.023472e-09
